"x";"y";"pop"
"165";346361.90045;6790139.01;3
"166";346361.94045;6790975.99;1
"167";346362.68045;6789960.92;3
"168";346362.81045;6790325.41;2
"169";346363.73045;6790710.54;2
"170";346363.87045;6790735.83;1
"171";346364.87045;6790807.65;4
"172";346365.30045;6790750.12;2
"173";346367.69045;6790784.93;1
"174";346367.88045;6790557.35;2
"175";346368.28045;6790104.81;4
"176";346369.01045;6790195.91;1
"177";346369.59045;6793995.89;2
"178";346369.60045;6790870.52;3
"179";346369.69045;6790766.65;4
"180";346369.80045;6790823.9;2
"181";346370.91045;6790177.46;2
"182";346373.09045;6790803.78;1
"183";346374.13045;6790328.1;2
"184";346374.79045;6792408.81;10
"185";346375.41045;6790841.76;1
"186";346375.76045;6792854.77;3
"187";346377.15045;6790890.81;3
"188";346377.73045;6789952.11;2
"189";346378.76045;6790185.04;1
"190";346378.89045;6790822.26;1
"191";346379.44045;6790698.74;1
"192";346381.28045;6790582.15;2
"193";346381.78045;6790167.05;2
"194";346382.71045;6790049.4;2
"195";346382.94045;6790249.46;1
"196";346383.23045;6790839.04;5
"197";346384.68045;6790599.45;2
"198";346385.89045;6790636.01;4
"199";346386.59045;6793918.4;3
"200";346386.73045;6790060.42;2
"201";346386.90045;6790650.54;2
"202";346387.20045;6790621.84;2
"203";346387.83045;6790034.69;1
"204";346388.10045;6790175.76;1
"205";346388.48045;6790855.55;2
"206";346388.52045;6790564.42;1
"207";346388.62045;6790262.35;1
"208";346391.51045;6789948.63;4
"209";346393.27045;6790629.99;4
"210";346394.52045;6790647.05;3.5
"211";346394.68045;6790017.43;2
"212";346395.86045;6790277.14;2
"213";346396.67045;6790664.01;1
"214";346397.31045;6790921.21;1
"215";346397.46045;6790135.82;6
"216";346398.23045;6790166.61;2
"217";346399.00045;6790599.61;2
"218";346401.86045;6789905.06;2
"219";346403.09045;6790075.83;2
"220";346405.46045;6790005.33;2
"221";346406.94045;6790096.98;3
"222";346408.93045;6790330.44;3
"223";346409.63045;6790280.75;4
"224";346410.50045;6790469.58;2
"225";346412.94046;6787834.54;2
"226";346415.10045;6790150.6;1
"227";346416.18045;6790714.24;4
"228";346416.28045;6790787.59;2
"229";346416.36045;6790698.6;3
"230";346417.66045;6789914.13;4
"231";346417.73045;6790731.43;1
"232";346418.25045;6790742.56;2
"233";346418.72045;6790923.45;2
"234";346421.22046;6787700.02;3
"235";346422.05045;6790895.49;2
"236";346422.35045;6790055.93;2
"237";346423.63045;6789330.37;4
"238";346425.82045;6790192.66;2
"239";346425.91045;6790331.44;1
"240";346426.31045;6790798.36;3
"241";346429.31045;6789991.78;1
"242";346429.73045;6790282.93;3
"243";346429.88045;6790007.23;2
"244";346430.06045;6790733.36;2
"245";346430.34045;6790608.96;2
"246";346430.44045;6790342.26;1
"247";346431.08045;6790469.77;1
"248";346431.18045;6790816.39;1
"249";346432.51045;6790350.92;2
"250";346432.99045;6790369.15;2
"251";346434.00045;6789933.93;5
"252";346434.65045;6790948.73;2
"253";346434.94045;6790832.55;2
"254";346435.00045;6790381.37;2
"255";346435.32045;6790055.04;5
"256";346436.73045;6790134.34;2
"257";346437.17045;6790201.77;1
"258";346437.49045;6790635.63;3
"259";346437.53045;6790784.17;2
"260";346437.62045;6790399.97;2
"261";346437.71045;6790848.55;2
"262";346438.45045;6790418.18;3
"263";346438.56045;6788501.84;1
"264";346438.98045;6790917.24;2
"265";346440.54045;6790116.97;2
"266";346440.72045;6790732.22;3
"267";346440.93045;6790889.51;1
"268";346442.54045;6793979.08;4
"269";346443.15045;6790590.71;3
"270";346444.39045;6790212.33;2
"271";346445.53045;6790817.05;4
"272";346446.22045;6789952.49;3
"273";346446.54045;6790039.48;4
"274";346447.71045;6790124.74;2
"275";346450.41045;6790292.82;2
"276";346451.84045;6790106.17;2
"277";346453.88045;6790635.11;2
"278";346454.11045;6790602.93;3
"279";346454.27045;6790470.73;2
"280";346454.56045;6790778.79;2
"281";346455.65045;6790223.89;3
"282";346455.70045;6790118.22;1
"283";346456.37045;6790879.22;2
"284";346458.52045;6790791.28;4
"285";346459.04045;6790414.03;1
"286";346460.47045;6790029.49;2
"287";346461.26045;6789967.58;1
"288";346461.85045;6790841.14;3
"289";346463.38045;6790111.27;2
"290";346463.56045;6790095.4;2
"291";346463.76045;6790234.43;1
"292";346464.76045;6790306.22;1
"293";346467.28045;6790725.76;2
"294";346467.39045;6790857.04;2
"295";346467.40045;6788803.27;2
"296";346468.57045;6790161.52;3
"297";346469.25045;6790632;4
"298";346469.35046;6787832.48;2
"299";346470.59045;6790583.1;4
"300";346472.54045;6793150.03;2
"301";346472.55045;6790102.76;2
"302";346472.86045;6790890.1;2
"303";346472.95045;6790248.1;2
"304";346473.39045;6790772.54;4
"305";346473.50045;6790325.61;1
"306";346474.12045;6790602.93;1
"307";346474.21045;6789985.07;3
"308";346474.80045;6790340.8;1
"309";346475.94045;6790669.4;4
"310";346476.20045;6790174.06;1
"311";346477.09045;6789950.56;2
"312";346477.28045;6790085.55;2
"313";346477.32045;6790437.48;1
"314";346477.77045;6790685.88;2
"315";346478.37045;6790543.15;3
"316";346478.56045;6790358.14;1
